name,ncpus,bytes/word,COPY,SCALE,ADD,TRIAD,Clock,FP-OP/clock,shared_memory,distributed_memory,Uniprocessor,Other,result_type,obsolete,type,date,link
Cray_CS6400,1,8,51.1,49.9,50.0,50.2,60.0,1.0,Y,N,N,N,S,N,N,1995.02.08,
Cray_EL-98,8,8,2362.8,2310.5,2373.7,2363.8,33.3,4.0,Y,N,N,N,S,N,N,1993.05.27,
Cray_EL-98,4,8,1564.9,1569.8,1933.8,1955.5,33.3,4.0,Y,N,N,N,S,N,N,1993.05.27,
Cray_EL-98,2,8,826.7,833.8,1049.0,1078.2,33.3,4.0,Y,N,N,N,S,N,N,1993.05.27,
Cray_EL-98,1,8,437.2,436.7,536.2,476.8,33.3,4.0,Y,N,N,N,S,N,N,1993.05.27,
Cray_J916,8,8,10274.4,9883.0,9073.3,8696.5,100.0,2.0,Y,N,N,N,S,N,N,1995.02.10,
Cray_J916,4,8,5576.3,5384.0,4873.7,4801.5,100.0,2.0,Y,N,N,N,S,N,N,1995.02.10,
Cray_J916,2,8,2837.6,2749.8,2548.6,2579.9,100.0,2.0,Y,N,N,N,S,N,N,1995.02.10,
Cray_J916,1,8,1441.7,1416.5,1316.3,1337.6,100.0,2.0,Y,N,N,N,S,N,N,1995.02.10,
Cray_J932,32,8,19007.0,18944.1,19993.9,18870.4,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,28,8,18852.3,18821.6,19722.8,18948.6,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,24,8,18214.3,18310.7,18936.7,18082.7,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,20,8,17493.5,17328.1,17603.4,16691.6,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,16,8,16298.2,15851.5,15657.6,14995.9,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,12,8,13521.2,13538.2,12798.2,12373.8,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,8,8,9995.2,9726.8,9087.4,8941.3,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,4,8,5255.3,5094.9,4688.3,4657.6,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,2,8,2842.2,2766.3,2493.7,2527.6,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J932,1,8,1433.6,1408.6,1260.8,1270.0,100.0,2.0,Y,N,N,N,S,N,N,1996.03.29,
Cray_J98,4,8,4699.0,4754.0,4386.0,4346.0,100.0,2.0,Y,N,N,N,E,N,N,1995.01.12,
Cray_J98,2,8,2729.0,2609.0,2463.0,2433.0,100.0,2.0,Y,N,N,N,E,N,N,1995.01.12,
Cray_J98,1,8,1417.0,1366.0,1259.0,1212.0,100.0,2.0,Y,N,N,N,E,N,N,1995.01.04,
